lang1,lang2,lang3,domain
3,1,2,Backend
12,10,3,Frontend
9,1,4,Full-stack
1,3,2,Full-stack
1,2,7,AI
1,7,5,ML
4,1,5,Cyber security
3,4,16,Cyber security
1,17,8,Cloud computing
15,2,1,Cloud computing
2,1,11,software devlopment
3,10,12,software devlopment
3,1,11,project manager
7,8,5,project manager
10,12,3,UI/UX deginer
1,2,4,UI/UX deginer
1,11,7,data analysis
1,7,13,data science
2,3,14,data science
6,8,7,data science
21,2,1,Blockchain
19,3,8,Blockchain
5,6,3,Game dev
2,18,1,Game dev
2,22,5,Android dev
3,20,23,Android dev
6,1,25,Android dev
24,6,16,los dev
20,3,2,los dev
5,2,10,computer ghraphics
1,3,18,computer ghraphics
2,15,1,virtulization
2,1,8,virtulization
27,26,29,network maintanence
27,19,1,network maintanence
7,1,0,Buissnes analyst
1,28,30,quamtum computing
32,31,1,quamtum computing
4,2,8,Video production
19,1,4,Video production
16,5,1,Robotics
33,2,6,Robotics
1,34,5,Robotics
